OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
63,RAIL144,Falls of Cruachan - Taynuilt,9447.443311909999466,0.000000000000000,594.372906208596419,195.013410107198155,2970.481464889951894,0.136457309657899
64,RAIL145,Taynuilt - Connel Ferry,11007.872292899999593,0.000000000000000,0.000000000000000,0.000000000000000,0.158265052631376,0.158265052631376
65,RAIL146,Connel Ferry - Oban,9804.181986609999512,0.000000000000000,0.000000000000000,0.000000000000000,0.123685528947605,0.123685528947605
66,RAIL148,Newton (S Lanarks) - Uddingston,2994.095168819999799,0.000000000000000,0.000000000000000,0.000000000000000,0.046635760169182,0.046814250457542
67,RAIL149,Uddingston - Bellshill,4010.041680110000016,0.000000000000000,0.000000000000000,0.000000000000000,0.062779995796901,0.062779995796901
68,RAIL15,Polmont - Linlithgow,7609.764573229999769,0.000000000000000,0.000000000000000,0.000000000000000,0.120092647016702,0.120092647016703
69,RAIL150,Bellshill - Motherwell,4754.649894500000300,0.000000000000000,0.000000000000000,0.000000000000000,0.057437504882505,0.057437504882505
70,RAIL152,Shieldmuir - Wishaw,2198.870009010000103,0.000000000000000,0.000000000000000,0.000000000000000,0.032389159779003,0.032389159779003
71,RAIL153,Wishaw - Carluke,7081.684115179999935,0.000000000000000,0.000000000000000,0.000000000000000,0.091572809366316,0.091572809366316
72,RAIL154,Carluke - Lanark,13527.864997099999528,0.000000000000000,0.000000000000000,0.000000000000000,0.184674983340126,0.184674983340126
73,RAIL16,Linlithgow - Edinburgh Park,20590.455695100001321,0.000000000000000,0.000000000000000,0.000000000000000,0.305273823069594,0.305273823069592
74,RAIL163,Cumbernauld - Greenfaulds,1102.437823759999901,0.000000000000000,0.000000000000000,0.000000000000000,0.014554217549000,0.014554217549000
